movie_id,review
tt2911666,"The best way I can describe John Wick is to picture Taken but instead of Liam Neeson it's Keanu Reeves and instead of his daughter it's his dog. That's essentially the plot of the movie. John Wick (Reeves) is out to seek revenge on the people who took something he loved from him. It's a beautifully simple premise for an action movie - when action movies get convoluted, they get bad i.e. A Good Day to Die Hard. John Wick gives the viewers what they want: Awesome action, stylish stunts, kinetic chaos, and a relatable hero to tie it all together. John Wick succeeds in its simplicity.As an action movie buff, all I wanted to see in this movie is some inventive action sequences, and I was not disappointed. Every single action sequence in this movie is fast-paced, beautifully shot, fluid, intense, and you never have trouble understanding what's going on. The direction of this film is fantastic, as is the writing. There's no melodramatic soapy story lines - everything is straight and to the point, and the point is to get to the action. Not one moment in this movie is boring. The short dialogue is effective from getting to action sequence A to sequence B without any confusion as to any character's motive. It's all laid out in front of you - all you have to do is sit back and enjoy the insanity happening on screen.Remember when Live Free or Die Hard came out and people were upset that John McClane only fired pistols throughout the entire movie? I like a little versatility when it comes to action heroes, and evidently so do the writers. John Wick wrecks face with pistols, assault rifles, shotguns, knives, even mano-a-mano; the man can do anything. The difference between John Wick and other modern action movies (Die Hard 5 and Taken 3 for instance) is that you actually believe John Wick is killable. He's not some invincible superhero like Bruce Willis was in Die Hard 5, having his car crash and flip like a hundred times and the second it stops he gets out without a scratch and starts running. No, John Wick takes a beating in this film. Numerous times in fact. But most of the time he's kicking ass and taking names, and instead of acting as some unstoppable killing machine, he just seems like a guy who's an expert in his field. He used to be a hit-man after all.John Wick is a blast to watch. Really, it's just a mindlessly fun action movie. It has large-scale shootouts, CQC sequences, and a classic hero-villain hand-to-hand confrontation at the end. The only negative I can say about the movie is that the villains aren't anything to write home about. They're Russian mobsters which we've seen a million times, and their leader isn't given enough to work with as far as character goes. Willam DaFoe has a brief but important role though as Wick's former colleague. Regardless, John Wick is all about the action and it goes above and beyond in every respect. It's a breath of fresh air after all the poor sequels we've been getting, and thankfully John Wick has the potential to be the next great action franchise. An absolute must-watch for action fans."
tt2911666,"With the fourth installment scoring immensely at the cinemas as I'm submitting this review, and after three previous films that are apparently loved by everyone else in the world, I thought perhaps it would be time for me check out ""John Wick"".But, even though I'm late to the party as usual, I don't feel like I've missed out on a lot. ""John Wick"" is a fast-paced and adrenaline-rushing action flick, but not the traditional type of action movie, like ""Die Hard"" or ""Lethal Weapon"". Since a good fifteen years or so, there seemingly exists an additional new sub-genre within the world of action/thriller cinema, which is best described as ""Shoot 'em Up"" films, and ""John Wick"" neatly fits into this category. Other examples include ""Shoot 'em Up"", - duh - , ""Crank"", ""Hardcore Henry"", ""Free Fire"", ""Taken"" and ""Everly"". You guessed it; - these are films with very thin plots and without any proper character development, but they primarily focus on non-stop violent action, excessively over-the-top gunfire action and a practically immeasurable body count. They are entertaining if you're in a completely undemanding mood, I reckon, but they are quite unmemorable as well. Moreover, despite all the action and bloodshed, these films are sort of boring, because they constantly repeat the same old ""bang-bang-you're-all-dead"" routine.The most interesting aspects about ""John Wick"" are definitely the structural framework and background stories the script constantly hints at. The rudimentary plot of an invincible and stoic hitman coming out of retirement to extract vengeance of a personal nature is really old and has been told hundreds of times before. The organization in which our protagonist operates, however, is intriguing to say the least. He knows everyone, both the ones supporting him and the ones he's shooting up, there's a sort of code of conduct that includes the use of specific coins and the respect of neutral zones, the cleaning up bloody shootout aftermaths is referred to as diner reservations, and even the local law enforcer doesn't seem surprised when John answers the door with a bloodied face. None of these particularities ever get explained, but then again, there are at least three more films.The sole thing to bear in mind when watching a film like ""John Wick"" remains: don't ask yourself any questions. Where does the never-ending supply of redundant henchmen keeps coming from? Why can't anyone hit a target expect for the hero? Why engage into a fistfight when there's a possibility for a clean shot? Why capture your target instead of killing him straight away, for that matter? You know he'll just escape again and kill you instead. Most importantly, why didn't anyone at least try to apologize to Wick for murdering his puppy?If you seek logic and answers to these questions, ""John Wick"" is a terrible film. In case you accept what it is, there's entertainment aplenty thanks to the impressive stunt work, the solid performances by Keanu Reeves and the supportive cast, inventive little gimmicks, and a whole lot of mean people that get punished for making the wrong career choices in their lives."
tt2911666,"It looks as if the filmmakers realized that the public was sick of certain movies. Most movies nowadays are full of wire work, sci-fi, etc. often topped with icing made of needless or predictable background stories that add nothing. For example the beautiful girlfriend who gives the moral speeches or the troubled teenage daughter, who aren't present here.Nothing of that is in John Wick. John Wick adds hardly a story, no character development, no needless character or background, no misplaced drama, no misplaced humor and not too much eye candy, nothing of that. What John Wick offers is action, action and more action. In fact, it is one long action scene, with some lines and close ups added. But that is not a problem. The directors promise action and deliver. While delivering they made it look good and convincing, without trying to be more, and they're smart enough to give the movie a satisfying beginning and ending.And for those who claim that Keanu Reeves is a horrible actor..... you are right. But his blank expression is perfect for this movie. Leave the acting to the bad guys and the delicious guest part for Willem Dafoe.If you're tired of movies with forced drama or loaded with CGI, John Wick will be a pleasant wake-up call."
tt2911666,"John wick has a very simple revenge story. It can be summarized as ""Keanu gets angry and shoots bad guys"" but what makes it special? Directed by Chad Stahelski who's a stunt specialist boy does it show because the main selling point in the film are some real virtuoso action sequences, well made choreographies. Unlike today's action movies, it doesn't use quick-cuts or shaky cameras actually see what's going on."
tt2911666,"Though he no longer has a taste for wet work, retired assassin and ""Boogeyman"" John Wick has suffered a personal tragedy that's left a huge void in his life. When he and his dog (really the last meaningful thing he has left) fall victim to a scummy group of Russian mobsters, he emerges from his shell with vengeance on his mind. Slow and ambiguous at first, but reveals more as it goes along, and once it kicks into gear it rarely lets up with plenty of stylized, visceral action scenes, an impressive arsenal of weaponry, plus sly direction and editing that give it the feel of a violent music video at times. Preposterously fun to watch, it just doesn't have much of a story at its disposal, not to mention all the over-the-top bloodletting and mayhem eventually becomes redundant. Savvy, indestructible Reeves looks right at home, and delivers many of his lines with a sardonic wit. **½"
tt2911666,"John Wick is one of those few movies a year that seemed like it would be absolutely terrible, but when you finally sit down and watch it, turns out to be incredible. Not only is it one of the most fun films of the year, but it's so much different than the action films we have today. It doesn't try to be inventive or over-the-top, it just plays to it's strengths.I have never been a huge fan of Keanu Reeves. Even in The Matrix, which is a great film, his acting falls pretty flat to me. He hasn't showed me anything that can make him a true thespian on screen. But as John Wick, he's perfect. The role doesn't call for anything more than just being a likable bada**. Wick is a man dealing with the death of his wife and retirement of his past associations with assassins of sort. He finally feels like he get's closure with his wife and then it's all ripped away from him by the very gangsters he was once affiliated with. He goes on an absolute killing rampage. To say the body count adds up is an understatement. Wick goes to great lengths to find the people who took everything from him, but it's not exactly easy for him. Being someone who just came out of retirement means you may be a little rusty, well Wick is definitely that. That's one of the many things I appreciated about this film. It never seemed like he was blowing through these guys without danger. Sure he effortlessly kills plenty, but he also struggles with a few as well.Killing a cute little dog would tick off anyone, so I don't blame the character for being mad, but I'm not sure there needed to be this many deaths. There are plenty of innocent security guards who die at the hands of Wick. At times, it just felt like a little too much for a revenge film. But I really loved all of John's interactions with people from his past. They all seem to be as surprised that Wick is killing again, as we are that this film turned out to be good. I thought it was a nice touch that the police officer simply let the fact that there were a bunch of dead people in Wick's apartment, go. Alfie Allen plays the main villain, and it seemed as though his storyline is very similar to that of Game of Thrones. He's constantly under-appreciated and so he wants to prove himself, but ends up doing something terribly stupid. It was also nice to see Bridget Regan from Agent Carter briefly pop up.But besides the fact that the script was pretty weak and the body count was pretty high, the film is just awesome. The 'Drive' sounding music and score to go along with the breathtaking action sequences made for one helluva ride. Keanu Reeves should stick to these less demanding and fun action roles. Just don't try and do too much.+Stunts & action +Score/soundtrack +Reeves makes it believable+Villains aren't stupid -Body count -Weak script 8.4/10"
tt2911666,"John Wick (2014) is the best revenge flick from Keanu Reeves of 2014 from The Matrix (1999) to John Wick (2014) another action fast paced, Entertaining slick action packed film, which kind I have never seen before. It is a very fun, straightforward action movie with an 80's sensibility. It's nice to see Keanu doing these types of roles again. It is one of my personal favorite Keanu Reeves movies. Keanu Reeves is a bad ass what a great action packed blood packed film. Movies should really learn from this on how to make a decent action film, especially with the crap we are getting today like escape plan bullet to the head and such. This film to me is the greatest action film to come out in this century. Keanu was phenomenal the action was so fast paced and exciting my jaw literally dropped as Keanu took out all the bad guys! I personally think this film is better then all Taken films combined. It was simply brilliant, it was made for 20 million dollars and I am glad it made 40 million in the US. I think this film deserved to make 100 million!Old school action with no shaky cam. Definitely the best stunt-man-turned-director-debut I've ever seen. The story is set about John Wick (Keanu Reeves) a retired assassin, who gets dragged back into his field when the Russian Mob put a hit out on him, but instead of killing John, they steal his classic Mustang and kill his newly acquired puppy. This sets John out to exact revenge on the whole mob in a no nonsense kind of way...multiple shots to the chest and one to the head for good measure type of justice. I've never seen a film where the gun play is this to the point and precise as this. I don't know what the body count is, but it's gotta be up there...way up there. Oh...and another thing...they actually reload the guns. Don't see that that often in films. It's got an all star cast of cameo/small roll characters, from Ian McShane, William Dafoe, and John Leguizamo, and I swear one of the bad guy henchman is that ""Mayhem"" Insurance guy. One of the Best Movie, that Keanu Reeves ever made. From start to finish. Non stop action, all scenes look very realistic. ( The best action movie of the year. ) I Love this movie so much I think the people behind this movie made a great astonish action movie. There are other things in the movie that I love so much. I even think John Wick is so much better than 47 Ronin (2013) that Keanu Reeves made. The most that I love in this movie is Adrianne Palicki as Ms. Perkins I think she did one of the best job portraying and playing the most memorable female assassin I have ever seen. Ms. Perkins made me realized and inspired me that there are a lot of women who choose occupation as a female assassin hired by the mob. There were a lot of female actresses who played an assassin but I have never see any women portrayed like that. Adrianne Palicki is a bad ass! She even played Lady Jaye in the G.I. Joe Team's covert operations a specialist in the movie G.I. Joe: Retaliation (2013) one of my favorite movies. The fight sequence between John Wick and Viggo Tarasov is real and very realistic I did not see any CGI in it. This wouldn't be an action movie without some action. There's plenty of it, and it's perfectly done. The The stunts are completely insane in scale. There is a lot of gun play and powder even the guys reload guns. There are even Daniel Bernhardt from Bloodsport II and The Matrix Reloaded in it. And he was perfect in here and the fight scenes with Keanu Reeves were well done by him. This is the first time In the movie I see Willem Dafoe been the good guy. I haven't seen him in decades playing the good guy since Platoon (1986) my favorite Vietnam war movie! The last thing about the movie I want to say that John Wick was a dog lover and I love dogs. I love how he avenge the puppy's death by mobsters who killed him and than he saved another puppy from the animal shelter when he was wounded. He wasn't a superhero without any bruises on him he was wounded. Keanu Reeves did a wonderful job better than he did in Knock Knock (2015) I only hope they want screwed up the sequel and making much better action movie than the first was.When sadistic young thugs senselessly attack John Wick (Keanu Reeves)-a brilliantly lethal ex-assassin-they have no idea they've messed with the wrong guy. With New York City as his bullet-riddled playground, Wick embarks on a merciless rampage, hunting down his adversaries with the skill and ruthlessness that made him an underworld legend That is the main plot the rating I am giving this movie is a 10/10 because It deserves it."
tt2911666,"... slaughtering a line from the superior ""Princess Bride"". It's a shame that Keanu Reeves is supposed to be one of the nicest guys to work
with in Hollywood, because this film is a mess. We should stop asking Hollywood to come up with original ideas, because when they do, this is the result. 101 minutes of cliched action that checks all of the boxes - retired hit-man coming out of retirement, a boy and his dog, the perfect wife who is conveniently dead, stolen cars, Russian mobsters, a spoiled son who doesn't have half the restraint and judgment of dad precisely because dad spoiled him, and lots of blood.We should stop criticizing the millennials so much, because all we've bequeathed to them is 100K of student debt each for four year degrees that don't get them jobs and films like this. Kudos to the effects team, because they did good work. They are the only reason this film gets even four stars."
tt2911666,"It's hard to find anything bad to say about John Wick. The action is beautifully choreographed, the setup is surprisingly emotional for an action flick, and Keanu.... What more is there to say? If you love action or even just like it you will be in for the ride of your life."
tt2911666,"JOHN WICK is a rare example of Hollywood getting things spot-on when it comes to creating the near-perfect action film. JOHN WICK is a relentless, pulse-pounding thriller that has plenty of similarity to the Liam Neeson classic TAKEN, albeit with a more simplistic (and also more emotionally intense) plot line. This is the kind of lean, pared-down film-making that's all about intensity and momentum. It sits well with classic international fare like POINT BLANK, SLEEPLESS NIGHT, MEA CULPA, THE MAN FROM NOWHERE, and THE RAID films.JOHN WICK isn't a perfect film; some of the dialogue is sloppily, some of the writing is too broad, and occasionally the music is intrusive. However, when it gets things right, as it frequently does, you can forgive all of these minor niggles and sit back and enjoy the ride. The clever decision was made to employ a martial arts expert as director, so the emphasis is on realistic, superbly choreographed action sequences, and they're hard-hitting and plentiful. The nightclub set-piece is the obvious highlight, but nearly all of the action here is spectacular.Keanu Reeves has been in lots of average or overrated films over the years but this stands as one of his very best, alongside SPEED. His dry, laconic turn is light years ahead of his other recent action flick, MAN OF TAI CHI. The supporting cast is basically unnecessary, but Michael Nyqvist, Willem Dafoe, and Alfie Allen all put in decent turns. In the end, though, JOHN WICK is all about the action, and quite simply it rocks. Bring on the sequel!"
